Region,Scenario,Period,Q1,Q3,Median,Whisker_low,Whisker_high
1,HIST,P0,19824.463480400293,21598.79542570795,20811.66646382692,19051.946953966515,24173.653251426833
1,SSP1-2.6,P1,20982.308763265424,22609.52888978155,21411.75647079529,18552.270707100673,24917.086875590692
1,SSP1-2.6,P2,22330.287057088903,24025.583417970047,23014.486059379542,20036.77966132905,26137.14984290196
1,SSP1-2.6,P3,21909.32346193869,23479.96637182714,22786.624974583865,20017.143620374147,25748.71975319385
1,SSP1-2.6,P4,21309.639503114737,23053.337325174667,21956.784057544617,20514.217380530703,23926.851716458514
1,SSP2-4.5,P1,20566.54348276413,22871.807418165656,21131.191290745614,19268.69213049375,23803.505893792222
1,SSP2-4.5,P2,21649.290479185463,23400.389265637074,22658.12959948313,20672.746195230247,25920.081443472496
1,SSP2-4.5,P3,23275.76785780827,25070.7458198365,24238.39109041413,20756.38627433457,26899.07904586677
1,SSP2-4.5,P4,24029.034111832792,25954.9768224035,25112.91485424986,21589.425899985792,27848.244117937717
1,SSP3-7.0,P1,20792.005368756658,22521.640926524957,21354.447349006812,19125.19149071265,24796.665184003738
1,SSP3-7.0,P2,22674.078171711826,24150.520336195565,23233.22191369419,20875.987809352686,25888.243965648333
1,SSP3-7.0,P3,23811.468484062138,25231.74216364663,24557.664461446453,22621.176635895004,27177.225322127593
1,SSP3-7.0,P4,26573.13507434106,28785.94026802075,27853.05529760765,23940.382718362252,31103.98308414794
1,SSP5-8.5,P1,21093.00642193002,22992.4888323919,21510.56508938774,19670.23158905212,23846.7893432211
1,SSP5-8.5,P2,23851.805493485346,25254.799709790106,24256.330389892864,22214.758681109186,27325.166475268306
1,SSP5-8.5,P3,25496.959134641038,27635.6488379111,26502.93450098022,22812.44185210245,30578.578486251354
1,SSP5-8.5,P4,29270.65198633923,31720.30502968377,30093.769397924458,26598.78868073139,34044.00786135995
2,HIST,P0,19152.612401553662,20056.38018444191,19480.64414990288,18557.34200190439,20621.514596108736
2,SSP1-2.6,P1,19462.83836554925,19876.072503735602,19719.852454672535,19049.46472431145,20124.35859258913
2,SSP1-2.6,P2,19603.3222932248,21029.038917568047,20371.199479456358,18540.37943869295,22259.443295777706
2,SSP1-2.6,P3,19111.814715112316,20764.5249518037,20409.77069600737,17886.10431345898,22465.279971638236
2,SSP1-2.6,P4,19477.91238659647,20554.62039502764,19994.73222471643,17998.044388498845,21491.84866066881
