Region,Category,Value
1,<0,23.61111111111111
1,0~25,50.000000000000014
1,25~50,16.666666666666668
1,50~75,9.722222222222223
1,75~100,0.0
1,>100,0.0
2,<0,0.0
2,0~25,0.0
2,25~50,87.87878787878788
2,50~75,6.060606060606061
2,75~100,6.060606060606061
2,>100,0.0
3,<0,48.88721804511279
3,0~25,51.11278195488722
3,25~50,0.0
3,50~75,0.0
3,75~100,0.0
3,>100,0.0
4,<0,0.0
4,0~25,2.8571428571428563
4,25~50,94.28571428571428
4,50~75,2.8571428571428563
4,75~100,0.0
4,>100,0.0
5,<0,13.968253968253967
5,0~25,58.57142857142856
5,25~50,17.023809523809522
5,50~75,6.468253968253966
5,75~100,1.1111111111111107
5,>100,2.857142857142856
6,<0,0.0
6,0~25,57.18280670227458
6,25~50,41.20515316394616
6,50~75,1.6120401337792645
6,75~100,0.0
6,>100,0.0
7,<0,18.515666353537522
7,0~25,64.7524536122626
7,25~50,16.004804165233878
7,50~75,0.7270758689660017
7,75~100,0.0
7,>100,0.0
8,<0,50.56146984261575
8,0~25,49.08765296440181
8,25~50,0.3508771929824562
8,50~75,0.0
8,75~100,0.0
8,>100,0.0
9,<0,5.672354754135763
9,0~25,31.494849841964783
9,25~50,33.44019345791268
9,50~75,12.511223745208296
9,75~100,8.016751535606602
9,>100,8.864626665171873
10,<0,0.0
10,0~25,17.29681017376457
10,25~50,53.21230528933227
10,50~75,12.008559511595015
10,75~100,6.0338083559588895
10,>100,11.448516669349257
11,<0,1.2911478765137299
11,0~25,45.036061499476126
11,25~50,42.369306197514035
11,50~75,11.303484426496091
11,75~100,0.0
11,>100,0.0
12,<0,0.0
12,0~25,5.95102937038421
12,25~50,19.883477947994077
12,50~75,27.428631041534267
12,75~100,15.609337093208062
12,>100,31.127524546879393
13,<0,0.0
13,0~25,8.75
13,25~50,38.5551948051948
13,50~75,12.20779220779221
13,75~100,4.4642857142857135
13,>100,36.02272727272727
14,<0,0.5625740228977496
14,0~25,14.574150298685842
14,25~50,35.534056761740466
14,50~75,28.3768491436782
14,75~100,7.0607938773575905
14,>100,13.891575895640141
15,<0,18.57142857142857
15,0~25,21.547619047619044
15,25~50,37.976190476190474
15,50~75,8.333333333333332
15,75~100,7.5
15,>100,6.07142857142857
16,<0,0.0
16,0~25,0.0
16,25~50,18.589743589743588
16,50~75,34.120879120879124
16,75~100,41.794871794871796
16,>100,5.494505494505495
17,<0,2.8571428571428568
17,0~25,36.288600288600286
17,25~50,51.76334776334777
17,50~75,9.09090909090909
17,75~100,0.0
17,>100,0.0
18,<0,0.0
18,0~25,79.16666666666666
18,25~50,20.833333333333332
18,50~75,0.0
18,75~100,0.0
18,>100,0.0
19,<0,8.853622911842091
19,0~25,78.60625802406624
19,25~50,10.886873463928257
19,50~75,1.5883105352283433
19,75~100,0.06493506493506493
19,>100,0.0
20,<0,0.0
20,0~25,100.0
20,25~50,0.0
20,50~75,0.0
20,75~100,0.0
20,>100,0.0
21,<0,5.388888888888888
21,0~25,94.05555555555556
21,25~50,0.5555555555555556
21,50~75,0.0
21,75~100,0.0
21,>100,0.0
22,<0,80.65217391304347
22,0~25,19.347826086956523
22,25~50,0.0
22,50~75,0.0
22,75~100,0.0
22,>100,0.0
23,<0,77.95098039215686
23,0~25,22.049019607843135
23,25~50,0.0
23,50~75,0.0
23,75~100,0.0
23,>100,0.0
24,<0,83.91883003712965
24,0~25,16.081169962870348
24,25~50,0.0
24,50~75,0.0
24,75~100,0.0
24,>100,0.0
25,<0,11.166905786704925
25,0~25,54.27318895037689
25,25~50,34.072100384869394
25,50~75,0.4878048780487804
25,75~100,0.0
25,>100,0.0
26,<0,12.834304229041074
26,0~25,75.56949806949808
26,25~50,11.318419923683086
26,50~75,0.2777777777777779
26,75~100,0.0
26,>100,0.0
27,<0,5.148897184483834
27,0~25,58.229318550697876
27,25~50,28.485733007102677
27,50~75,8.136051257715618
27,75~100,0.0
27,>100,0.0
28,<0,0.0
28,0~25,0.0
28,25~50,59.72222222222222
28,50~75,36.11111111111111
28,75~100,4.166666666666667
28,>100,0.0
29,<0,2.6315789473684204
29,0~25,79.60526315789474
29,25~50,3.9473684210526305
29,50~75,13.815789473684209
29,75~100,0.0
29,>100,0.0
30,<0,19.84593837535014
30,0~25,70.94537815126051
30,25~50,9.208683473389357
30,50~75,0.0
30,75~100,0.0
30,>100,0.0
31,<0,12.5
31,0~25,48.20512820512821
31,25~50,30.12820512820513
31,50~75,4.166666666666667
31,75~100,5.000000000000001
31,>100,0.0
32,<0,1.6666666666666667
32,0~25,92.71428571428571
32,25~50,4.476190476190476
32,50~75,1.1428571428571428
32,75~100,0.0
32,>100,0.0
33,<0,9.411764705882353
33,0~25,90.58823529411765
33,25~50,0.0
33,50~75,0.0
33,75~100,0.0
33,>100,0.0
34,<0,2.311827956989247
34,0~25,63.45878136200718
34,25~50,21.431131592421913
34,50~75,1.4285714285714284
34,75~100,3.095238095238095
34,>100,8.274449564772144
35,<0,4.816326530612245
35,0~25,62.271490414347554
35,25~50,32.912183055040195
35,50~75,0.0
35,75~100,0.0
35,>100,0.0
36,<0,0.0
36,0~25,96.15384615384615
36,25~50,3.846153846153846
36,50~75,0.0
36,75~100,0.0
36,>100,0.0
37,<0,47.80451179644728
37,0~25,48.95624089172476
37,25~50,2.1281362007168463
37,50~75,0.0
37,75~100,1.1111111111111112
37,>100,0.0
38,<0,19.480425213353747
38,0~25,42.87360292487021
38,25~50,20.545835682191342
38,50~75,5.213352779808946
38,75~100,3.119545131058888
38,>100,8.767238268716874
39,<0,4.011222026489202
39,0~25,95.98877797351079
39,25~50,0.0
39,50~75,0.0
39,75~100,0.0
39,>100,0.0
40,<0,0.2702702702702703
40,0~25,96.3963963963964
40,25~50,3.3333333333333335
40,50~75,0.0
40,75~100,0.0
40,>100,0.0
41,<0,64.91025641025641
41,0~25,35.08974358974359
41,25~50,0.0
41,50~75,0.0
41,75~100,0.0
41,>100,0.0
42,<0,4.258516041124737
42,0~25,48.4563359345968
42,25~50,21.72352285395764
42,50~75,5.856806639415335
42,75~100,11.427536231884059
42,>100,8.27728229902143
43,<0,0.0
43,0~25,15.0
43,25~50,29.04761904761905
43,50~75,20.714285714285715
43,75~100,22.38095238095238
43,>100,12.857142857142856
