Region,SSP,ESL_class
1,SSP1-2.6,2
1,SSP1-2.6,2
1,SSP1-2.6,2
1,SSP1-2.6,2
1,SSP1-2.6,2
1,SSP1-2.6,2
1,SSP1-2.6,2
1,SSP1-2.6,2
1,SSP1-2.6,2
1,SSP1-2.6,2
1,SSP1-2.6,2
1,SSP1-2.6,2
1,SSP1-2.6,2
1,SSP1-2.6,2
1,SSP1-2.6,2
1,SSP1-2.6,2
1,SSP1-2.6,2
1,SSP1-2.6,2
1,SSP1-2.6,2
1,SSP1-2.6,2
1,SSP1-2.6,2
1,SSP1-2.6,2
1,SSP1-2.6,2
1,SSP1-2.6,2
1,SSP1-2.6,2
1,SSP1-2.6,2
1,SSP1-2.6,3
1,SSP1-2.6,3
1,SSP1-2.6,3
1,SSP1-2.6,3
1,SSP1-2.6,3
1,SSP1-2.6,3
1,SSP1-2.6,3
1,SSP1-2.6,3
1,SSP1-2.6,3
1,SSP1-2.6,3
1,SSP1-2.6,3
1,SSP1-2.6,3
1,SSP1-2.6,3
1,SSP1-2.6,3
1,SSP1-2.6,3
1,SSP1-2.6,3
1,SSP1-2.6,3
1,SSP1-2.6,3
1,SSP1-2.6,3
1,SSP1-2.6,3
1,SSP1-2.6,3
1,SSP1-2.6,3
1,SSP1-2.6,3
1,SSP1-2.6,3
1,SSP1-2.6,3
1,SSP1-2.6,3
1,SSP1-2.6,3
1,SSP1-2.6,3
1,SSP1-2.6,3
1,SSP1-2.6,3
1,SSP1-2.6,3
1,SSP1-2.6,4
1,SSP1-2.6,4
1,SSP1-2.6,4
1,SSP1-2.6,4
1,SSP1-2.6,4
1,SSP1-2.6,4
1,SSP1-2.6,4
1,SSP1-2.6,4
1,SSP1-2.6,4
1,SSP1-2.6,4
1,SSP1-2.6,4
1,SSP1-2.6,4
1,SSP1-2.6,4
1,SSP1-2.6,4
1,SSP1-2.6,4
1,SSP1-2.6,4
1,SSP1-2.6,4
1,SSP1-2.6,4
1,SSP1-2.6,4
1,SSP1-2.6,4
1,SSP1-2.6,4
1,SSP1-2.6,4
1,SSP1-2.6,4
1,SSP1-2.6,4
1,SSP1-2.6,4
1,SSP1-2.6,4
1,SSP1-2.6,4
1,SSP1-2.6,4
1,SSP1-2.6,4
1,SSP1-2.6,4
1,SSP1-2.6,4
1,SSP1-2.6,4
1,SSP1-2.6,4
1,SSP1-2.6,4
1,SSP1-2.6,4
1,SSP1-2.6,4
1,SSP1-2.6,4
1,SSP1-2.6,4
1,SSP1-2.6,4
1,SSP1-2.6,4
1,SSP1-2.6,4
1,SSP2-4.5,4
1,SSP2-4.5,4
1,SSP2-4.5,4
1,SSP2-4.5,4
1,SSP2-4.5,4
1,SSP2-4.5,4
1,SSP2-4.5,4
1,SSP2-4.5,4
1,SSP2-4.5,4
1,SSP2-4.5,4
1,SSP2-4.5,4
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,5
1,SSP2-4.5,6
1,SSP2-4.5,6
1,SSP2-4.5,6
