index,latitude,< 0,0 ~ 25,25 ~ 50,50 ~ 75,75 ~ 100,> 100
1,-87.5,0,0,0,0,0,0
2,-82.5,0,0,0,0,0,0
3,-77.5,0,0,0,0,0,0
4,-72.5,0,0,0,0,0,0
5,-67.5,0,0,0,0,0,0
6,-62.5,0,0,0,0,0,0
7,-57.5,0,0,100,0,0,0
8,-52.5,6.25,21.07142857,46.60714286,17.5,8.571428571,0
9,-47.5,0,6.666666667,69.46428571,3.571428571,6.904761905,13.39285714
10,-42.5,0,1.487804878,25.35365854,42.48170732,7.725609756,22.95121951
11,-37.5,0,3.015585721,36.40975365,56.20713927,4.367521368,0
12,-32.5,0,4.020296175,65.08238397,20.15579614,8.340784332,2.400739386
13,-27.5,0,12.47590206,11.33275727,52.88970309,16.51017541,6.791462169
14,-22.5,0,40.54095344,12.35808585,38.06603368,8.065649242,0.969277788
15,-17.5,0,20.90871607,46.0421391,21.83709503,10.86599653,0.346053259
16,-12.5,1.640689755,7.996396608,74.34028549,8.721812191,7.180705442,0.120110516
17,-7.5,0.05952381,38.35264042,37.97212295,17.14415059,4.439174615,2.032387618
18,-2.5,3.984047168,29.32867342,20.50844113,7.69550232,12.46107196,26.022264
19,2.5,8.236243702,3.919904666,35.52900739,34.73102176,12.76062226,4.823200224
20,7.5,4.841090618,55.76956893,29.19007961,10.19926085,0,0
21,12.5,2.457316735,42.1761592,55.36652406,0,0,0
22,17.5,0,19.30838984,76.62461021,2.930688064,1.136311888,0
23,22.5,0.814935478,29.65572357,51.21413814,8.459431474,7.355131156,2.500640188
24,27.5,0.444444444,65.89112603,24.01579554,9.514405803,0.134228188,0
25,32.5,0,25.46488166,69.99686796,0.294117647,4.244132735,0
26,37.5,0,15.94988169,67.93633518,15.92133578,0.192447349,0
27,42.5,0,11.37394684,15.49493501,48.37048858,20.2641909,4.496438668
28,47.5,0,1.119617225,31.46857368,21.59331858,25.39167567,20.42681484
29,52.5,0,2.777777778,3.287981859,17.88766789,40.2603349,35.78623757
30,57.5,5,0.757575758,8.333333333,2.272727273,27.75252525,55.88383838
31,62.5,0,0,6.041666667,11.45833333,66.04166667,16.45833333
32,67.5,0,0,9.230769231,27.17948718,63.58974359,0
33,72.5,0,0,0,23.33333333,43.33333333,33.33333333
34,77.5,0,0,0,0,0,100
35,82.5,0,0,0,0,0,100
36,87.5,0,0,0,0,0,0
