Name,Kingdom,Phylum,Class,regions,CATEGORY,GRIDS
Abrahamia_darainensis,plantae,tracheophyta,magnoliopsida,[27.0],Critically Endangered,1
Acacia_cangaiensis,plantae,tracheophyta,magnoliopsida,[41.0],Endangered,1
Acacia_pubirhachis,plantae,tracheophyta,magnoliopsida,"[22.0, 38.0, 39.0]",Least Concern,11
Acacia_serpentinicola,plantae,tracheophyta,magnoliopsida,[41.0],Near Threatened,2
Acanthaeschna_victoria,animalia,arthropoda,insecta,[41.0],Endangered,9
Acantholimon_aegaeum,plantae,tracheophyta,magnoliopsida,[19.0],Vulnerable,3
Accipiter_gundlachi,animalia,chordata,aves,[8.0],Endangered,7
Accipiter_henicogrammus,animalia,chordata,aves,[38.0],Near Threatened,2
Acer_chiangdaoense,plantae,tracheophyta,magnoliopsida,"[37.0, 38.0]",Endangered,2
Acer_pseudowilsonii,plantae,tracheophyta,magnoliopsida,[38.0],Endangered,2
Acilacris_furcatus,animalia,arthropoda,insecta,[26.0],Critically Endangered,2
Acrosynanthus_parvifolius,plantae,tracheophyta,magnoliopsida,[8.0],Vulnerable,1
Actinodaphne_shendurunii,plantae,tracheophyta,magnoliopsida,[37.0],Endangered,1
Adelocaryum_coelestinum,plantae,tracheophyta,magnoliopsida,[37.0],Near Threatened,12
Adolfus_alleni,animalia,chordata,reptilia,[24.0],Near Threatened,4
Adolfus_masavaensis,animalia,chordata,reptilia,[24.0],Near Threatened,3
Aeschynomene_pararubrofarinacea,plantae,tracheophyta,magnoliopsida,"[22.0, 24.0, 25.0, 26.0]",Least Concern,12
Aethopyga_primigenia,animalia,chordata,aves,[38.0],Least Concern,1
Afrixalus_septentrionalis,animalia,chordata,amphibia,[24.0],Least Concern,3
Afrosciadium_abyssinicum,plantae,tracheophyta,magnoliopsida,[23.0],Vulnerable,6
Afrothismia_mhoroana,plantae,tracheophyta,liliopsida,[24.0],Critically Endangered,1
Agaricus_pattersoniae,fungi,basidiomycota,agaricomycetes,[3.0],Vulnerable,3
Agasthyagama_beddomii,animalia,chordata,reptilia,[37.0],Endangered,2
Agelasta_mindanaonis,animalia,arthropoda,insecta,[38.0],Vulnerable,4
Aglaia_integrifolia,plantae,tracheophyta,magnoliopsida,[38.0],Critically Endangered,1
Alchemilla_elgonensis,plantae,tracheophyta,magnoliopsida,[24.0],Vulnerable,3
Aleurina_echinata,fungi,ascomycota,pezizomycetes,[15.0],Near Threatened,2
Allognathus_graellsianus,animalia,mollusca,gastropoda,[19.0],Least Concern,1
Allognathus_pyrenaicus,animalia,mollusca,gastropoda,[19.0],Near Threatened,4
