Region,Scenario,Period,Q1,Q3,Median,Whisker_low,Whisker_high
North America,his,P0,2.269,2.352,2.317,2.244,2.419
North America,ssp126,P1,2.303,2.394,2.366,2.281,2.416
North America,ssp126,P2,2.325,2.384,2.352,2.301,2.467
North America,ssp126,P3,2.339,2.374,2.354,2.303,2.426
North America,ssp126,P4,2.272,2.359,2.317,2.172,2.417
North America,ssp245,P1,2.336,2.421,2.39,2.322,2.456
North America,ssp245,P2,2.391,2.447,2.411,2.309,2.484
North America,ssp245,P3,2.394,2.498,2.442,2.363,2.577
North America,ssp245,P4,2.441,2.498,2.477,2.4,2.554
North America,ssp370,P1,2.336,2.422,2.388,2.299,2.507
North America,ssp370,P2,2.447,2.534,2.485,2.382,2.591
North America,ssp370,P3,2.568,2.635,2.581,2.523,2.733
North America,ssp370,P4,2.683,2.737,2.706,2.603,2.807
North America,ssp585,P1,2.337,2.4,2.367,2.287,2.478
North America,ssp585,P2,2.489,2.565,2.533,2.384,2.6
North America,ssp585,P3,2.583,2.672,2.627,2.461,2.734
North America,ssp585,P4,2.799,2.924,2.843,2.667,3.041
South America,his,P0,2.897,2.973,2.951,2.822,3.054
South America,ssp126,P1,3.098,3.269,3.175,3.035,3.466
South America,ssp126,P2,3.274,3.38,3.321,3.179,3.508
South America,ssp126,P3,3.289,3.391,3.347,3.203,3.464
South America,ssp126,P4,3.275,3.414,3.349,3.164,3.609
South America,ssp245,P1,3.167,3.362,3.264,3.013,3.457
South America,ssp245,P2,3.385,3.536,3.455,3.284,3.708
South America,ssp245,P3,3.502,3.632,3.592,3.369,3.742
South America,ssp245,P4,3.733,3.854,3.792,3.592,3.979
South America,ssp370,P1,3.153,3.303,3.252,2.981,3.497
South America,ssp370,P2,3.458,3.609,3.507,3.283,3.786
South America,ssp370,P3,3.731,3.922,3.829,3.618,4.018
South America,ssp370,P4,4.088,4.296,4.217,3.846,4.503
South America,ssp585,P1,3.271,3.498,3.309,3.074,3.639
South America,ssp585,P2,3.581,3.77,3.714,3.473,3.928
South America,ssp585,P3,3.962,4.249,4.086,3.865,4.396
South America,ssp585,P4,4.512,4.722,4.6,4.314,4.995
Europe,his,P0,2.793,2.906,2.856,2.732,2.987
Europe,ssp126,P1,2.86,2.942,2.925,2.816,3.016
Europe,ssp126,P2,2.893,2.978,2.935,2.848,3.026
Europe,ssp126,P3,2.861,2.95,2.908,2.777,3.038
Europe,ssp126,P4,2.903,2.964,2.946,2.818,3.003
Europe,ssp245,P1,2.855,2.965,2.893,2.812,3.081
Europe,ssp245,P2,2.908,2.998,2.953,2.841,3.059
Europe,ssp245,P3,3,3.064,3.015,2.923,3.114
Europe,ssp245,P4,2.979,3.085,3.037,2.943,3.139
Europe,ssp370,P1,2.865,2.94,2.904,2.799,3.006
Europe,ssp370,P2,2.901,2.999,2.957,2.842,3.078
Europe,ssp370,P3,2.989,3.067,3.049,2.885,3.141
Europe,ssp370,P4,3.057,3.123,3.085,3.01,3.221
Europe,ssp585,P1,2.9,2.99,2.935,2.842,3.103
Europe,ssp585,P2,2.975,3.101,3.025,2.882,3.176
Europe,ssp585,P3,3.041,3.164,3.128,2.992,3.217
Europe,ssp585,P4,3.168,3.293,3.212,3.08,3.423
Africa,his,P0,1.119,1.142,1.136,1.106,1.159
Africa,ssp126,P1,1.12,1.143,1.133,1.1,1.168
Africa,ssp126,P2,1.114,1.136,1.124,1.089,1.143
Africa,ssp126,P3,1.115,1.13,1.121,1.099,1.144
Africa,ssp126,P4,1.116,1.131,1.121,1.094,1.138
Africa,ssp245,P1,1.119,1.143,1.131,1.107,1.156
Africa,ssp245,P2,1.113,1.126,1.119,1.095,1.141
Africa,ssp245,P3,1.117,1.138,1.128,1.096,1.152
Africa,ssp245,P4,1.114,1.124,1.117,1.103,1.128
Africa,ssp370,P1,1.125,1.139,1.131,1.106,1.148
Africa,ssp370,P2,1.112,1.135,1.126,1.077,1.155
Africa,ssp370,P3,1.102,1.123,1.117,1.083,1.129
Africa,ssp370,P4,1.096,1.116,1.108,1.081,1.13
Africa,ssp585,P1,1.115,1.135,1.125,1.088,1.155
Africa,ssp585,P2,1.106,1.122,1.117,1.084,1.132
Africa,ssp585,P3,1.084,1.097,1.091,1.068,1.112
Africa,ssp585,P4,1.068,1.081,1.078,1.052,1.1
Asia,his,P0,5.166,5.274,5.242,5.007,5.392
Asia,ssp126,P1,5.271,5.433,5.318,5.128,5.606
Asia,ssp126,P2,5.305,5.524,5.376,5.191,5.772
Asia,ssp126,P3,5.335,5.47,5.388,5.203,5.509
Asia,ssp126,P4,5.378,5.451,5.426,5.301,5.503
Asia,ssp245,P1,5.323,5.472,5.35,5.208,5.57
Asia,ssp245,P2,5.391,5.614,5.492,5.315,5.746
Asia,ssp245,P3,5.543,5.746,5.647,5.468,5.854
Asia,ssp245,P4,5.576,5.759,5.633,5.377,5.867
Asia,ssp370,P1,5.176,5.398,5.292,5.1,5.516
Asia,ssp370,P2,5.401,5.57,5.453,5.236,5.717
Asia,ssp370,P3,5.493,5.768,5.611,5.392,5.937
Asia,ssp370,P4,5.825,5.989,5.948,5.601,6.077
Asia,ssp585,P1,5.318,5.459,5.363,5.22,5.584
Asia,ssp585,P2,5.467,5.682,5.61,5.249,5.892
Asia,ssp585,P3,5.746,5.915,5.817,5.578,6.05
Asia,ssp585,P4,6.138,6.309,6.212,5.889,6.517
Oceania,his,P0,3.062,3.201,3.165,2.882,3.33
Oceania,ssp126,P1,3.107,3.329,3.273,2.815,3.488
Oceania,ssp126,P2,3.208,3.382,3.247,2.996,3.529
Oceania,ssp126,P3,3.298,3.424,3.358,3.134,3.6
Oceania,ssp126,P4,3.172,3.343,3.235,3.1,3.44
Oceania,ssp245,P1,3.173,3.322,3.249,3.093,3.436
Oceania,ssp245,P2,3.285,3.457,3.384,3.136,3.511
Oceania,ssp245,P3,3.276,3.449,3.38,3.117,3.673
Oceania,ssp245,P4,3.258,3.468,3.375,3.06,3.559
Oceania,ssp370,P1,3.073,3.268,3.186,2.906,3.383
Oceania,ssp370,P2,3.197,3.368,3.255,3.064,3.473
Oceania,ssp370,P3,3.227,3.508,3.38,3.065,3.634
Oceania,ssp370,P4,3.461,3.665,3.559,3.165,3.837
Oceania,ssp585,P1,3.069,3.308,3.137,2.948,3.448
Oceania,ssp585,P2,3.153,3.366,3.28,3.086,3.612
Oceania,ssp585,P3,3.317,3.57,3.464,3.14,3.74
