Region,Scenario,Period,Q1,Q3,Median,Whisker_low,Whisker_high
na,hist,P0,12.791835165317327,13.208305390470873,13.093685134375583,12.287195918853527,13.783166657546994
na,ssp126,P1,14.111316800995718,14.492949716033872,14.260575885352692,13.813100954587753,14.947222175879398
na,ssp126,P2,14.509585925041875,15.045556629024755,14.877161034431417,14.34443882244556,15.6282016115764
na,ssp126,P3,15.031452932719152,15.474129879676159,15.202710577424156,14.700641213102552,15.802277014144801
na,ssp126,P4,14.742987708310068,15.070909703517586,14.850520684254604,14.594223715242878,15.239715122278056
na,ssp245,P1,13.895696706681555,14.864351295644889,14.254268795179602,13.637325184440723,15.703378246789503
na,ssp245,P2,15.567186250651407,16.33502399781314,16.007357556020846,14.585660704075933,16.87572665475526
na,ssp245,P3,17.19669382998325,17.60893804880886,17.49253543243998,16.68729533147218,17.930040827098455
na,ssp245,P4,17.95359272278057,18.786688698027174,18.40932510673739,17.205898664619394,19.746433860040945
na,ssp370,P1,13.891471890656987,14.745527736041316,14.525347004652893,13.48493287474409,15.929073109436072
na,ssp370,P2,16.02880645174949,17.577701061743905,16.9058074745952,15.120641676344688,18.28405611911409
na,ssp370,P3,19.344934611436813,20.677117877210126,20.206029713940072,18.452782725665365,21.362641027359015
na,ssp370,P4,22.06917042369254,24.289458250186115,23.265638824958124,21.42222062032384,25.203112254420247
na,ssp585,P1,14.344310788805135,15.653254826586634,14.746393210589988,13.54420248725107,16.122510628885166
na,ssp585,P2,17.13771637046343,18.59339542304113,17.825317909268566,16.1217296080402,19.539644321049696
na,ssp585,P3,20.883985427275263,22.764037557463244,21.704078389168064,19.19680100390843,24.353447381909543
na,ssp585,P4,25.929249851246972,29.229805438907505,27.467939797599108,24.510380334263914,30.22624050362926
sa,hist,P0,39.84331787197732,41.169161542138575,40.89667093483532,39.51282095985484,42.88612321242596
sa,ssp126,P1,44.372492721961855,45.68998816261066,45.108519687723756,43.178699829134935,47.491405413574824
sa,ssp126,P2,46.81561011694087,48.56951281579525,47.91408004519788,46.080058978959194,49.78379246485061
sa,ssp126,P3,48.46924606583187,49.06229326954371,48.70466124800657,48.068578573113975,49.53105644446072
sa,ssp126,P4,48.0560002203956,48.85953888705819,48.53400505170702,47.07270447096921,49.69752045824383
sa,ssp245,P1,44.65389841858279,46.934755526772925,46.0400169518486,43.07765928041399,48.466710844642975
sa,ssp245,P2,48.958493614426715,51.543362955843584,50.30462605204062,47.03494900084619,52.66743040218382
sa,ssp245,P3,52.43117431511586,54.32687638685478,53.089985895902494,51.18027448455706,55.33089340420165
