Region,Title,Category,SSP,Value
North America,b. North America (1279),<0,SSP1-2.6,39.0
North America,b. North America (1279),0~25,SSP1-2.6,55.0
North America,b. North America (1279),25~50,SSP1-2.6,6.0
North America,b. North America (1279),50~75,SSP1-2.6,0.0
North America,b. North America (1279),75~100,SSP1-2.6,0.0
North America,b. North America (1279),>100,SSP1-2.6,0.0
North America,b. North America (1279),<0,SSP2-4.5,20.4
North America,b. North America (1279),0~25,SSP2-4.5,43.7
North America,b. North America (1279),25~50,SSP2-4.5,31.7
North America,b. North America (1279),50~75,SSP2-4.5,3.1
North America,b. North America (1279),75~100,SSP2-4.5,0.6
North America,b. North America (1279),>100,SSP2-4.5,0.4
North America,b. North America (1279),<0,SSP3-7.0,15.4
North America,b. North America (1279),0~25,SSP3-7.0,20.8
North America,b. North America (1279),25~50,SSP3-7.0,23.2
North America,b. North America (1279),50~75,SSP3-7.0,20.4
North America,b. North America (1279),75~100,SSP3-7.0,13.8
North America,b. North America (1279),>100,SSP3-7.0,6.3
North America,b. North America (1279),<0,SSP5-8.5,17.7
North America,b. North America (1279),0~25,SSP5-8.5,16.6
North America,b. North America (1279),25~50,SSP5-8.5,20.5
North America,b. North America (1279),50~75,SSP5-8.5,23.8
North America,b. North America (1279),75~100,SSP5-8.5,10.6
North America,b. North America (1279),>100,SSP5-8.5,10.8
South America,c. South America (1440),<0,SSP1-2.6,8.0
South America,c. South America (1440),0~25,SSP1-2.6,49.5
South America,c. South America (1440),25~50,SSP1-2.6,28.4
South America,c. South America (1440),50~75,SSP1-2.6,10.5
South America,c. South America (1440),75~100,SSP1-2.6,2.2
South America,c. South America (1440),>100,SSP1-2.6,1.4
South America,c. South America (1440),<0,SSP2-4.5,3.3
South America,c. South America (1440),0~25,SSP2-4.5,20.6
South America,c. South America (1440),25~50,SSP2-4.5,37.3
South America,c. South America (1440),50~75,SSP2-4.5,16.3
South America,c. South America (1440),75~100,SSP2-4.5,6.9
South America,c. South America (1440),>100,SSP2-4.5,15.6
South America,c. South America (1440),<0,SSP3-7.0,4.4
South America,c. South America (1440),0~25,SSP3-7.0,9.8
South America,c. South America (1440),25~50,SSP3-7.0,20.8
South America,c. South America (1440),50~75,SSP3-7.0,27.1
South America,c. South America (1440),75~100,SSP3-7.0,10.3
South America,c. South America (1440),>100,SSP3-7.0,27.6
South America,c. South America (1440),<0,SSP5-8.5,2.4
South America,c. South America (1440),0~25,SSP5-8.5,8.4
South America,c. South America (1440),25~50,SSP5-8.5,13.3
South America,c. South America (1440),50~75,SSP5-8.5,22.3
South America,c. South America (1440),75~100,SSP5-8.5,15.9
