Region,Category,50~75,75~100,>100
f. Caribbean,Least Concern,1.796407185628743,0.8982035928143715,0.2994011976047905
f. Caribbean,Near Threatened,4.385964912280701,0.0,0.0
f. Caribbean,Vulnerable,4.365079365079365,0.7936507936507936,0.3968253968253968
f. Caribbean,Endangered,5.555555555555555,0.7246376811594203,0.7246376811594203
f. Caribbean,Critically Endangered,8.284600389863547,0.0,0.0
g. South America,Least Concern,27.145447618173556,16.07030841916754,22.990149848545514
g. South America,Near Threatened,18.921737173555137,16.40919383253333,24.70243945646123
g. South America,Vulnerable,28.35620198854617,18.58770314300567,21.777700704092464
g. South America,Endangered,19.982144783675153,13.268360312836638,36.01175518248689
g. South America,Critically Endangered,17.930239949149854,12.468860394333142,40.69099976775171
h. South Asia,Least Concern,4.846855653307266,1.01010101010101,6.313131313131312
h. South Asia,Near Threatened,4.601226993865031,1.5337423312883438,4.601226993865031
h. South Asia,Vulnerable,5.555555555555555,1.4814814814814816,8.518518518518519
h. South Asia,Endangered,6.89655172413793,2.5862068965517238,8.381226053639846
h. South Asia,Critically Endangered,3.191489361702128,3.191489361702128,9.574468085106385
i. Australia,Least Concern,2.4074074074074074,1.1111111111111112,1.6666666666666667
i. Australia,Near Threatened,4.375,0.6250000000000001,6.875000000000002
i. Australia,Vulnerable,4.3478260869565215,0.5434782608695652,6.25
i. Australia,Endangered,3.6231884057971024,1.8115942028985512,4.347826086956523
i. Australia,Critically Endangered,4.807692307692308,1.4423076923076923,8.653846153846153
